comment,key,en,zh-Hans,zh-Hant,ja,ko
,pattern_panel_options_keep_scanline_in_view_description,Automatically scroll the workspace whenever the scanline goes out of view.,当扫描线离开工作区时自动滚动工作区。,當掃描線離開工作區自動捲動。,プレイバックするときにスキャンラインが見えなくなった場合、自動でスクロールします。,작업 영역 밖으로 타임라인이 이탈하면 자동으로 다음 구간으로 스크롤합니다.
,pattern_panel_options_editing_header,Editing,编辑,編輯,編集,편집
,pattern_panel_options_apply_keysounds_label,Apply keysound to selection,选择按键音时作用于选区,選取區域套用按鍵音,ノート音オート指定,연주음 자동 적용
,pattern_panel_options_apply_keysounds_description,"When you click a keysound, apply it to any notes selected.",选择按键音时，将所有选中音符的按键音改为新选择的按键音。,選擇按鍵音時，將所有選中的音符改為新選擇的按鍵音。,ノート音を選択すると、選択した全てのノートに指定されます。,클릭한 사운드를 현재 선택한 모든 노트에 지정합니다.
,pattern_panel_options_apply_note_type_label,Apply note type to selection,选择音符类型时作用于选区,選擇區域套用音符類型,ノートタイプオート適用,노트 타입 자동 적용
,pattern_panel_options_apply_note_type_description,"When you click a note type, apply it to any notes selected.",选择音符类型时，将所有选中音符的类型改为新选择的类型。,選擇音符類型時，將所有選中的音符類型改為新選擇的類型。,ノートタイプを選択すると、選択した全てのノートがそのノートタイプに置き換えられます。,현재 선택한 모든 노트를 클릭한 노트 종류로 변경합니다.
,pattern_panel_options_lock_notes_label,Lock notes in time,锁定音符时间,鎖定音符時間,ノート移動範囲固定,노트 시점 고정
,pattern_panel_options_lock_notes_description,Prevent dragging notes to a different time. Does not affect cut/copy/paste.,确保无法横向移动任何音符。对剪切、复制、粘贴没有影响。,確保無法橫向移動任何音符。不受剪下、複製、貼上影響。,"ノートを移すとき、他のスキャンに移せなくなり、トラックのみ変更できるようになります。
切り取り/コピー/貼り付けには影響しません。","노트를 옮길 때 시점을 고정합니다. 트랙 위치만 변경할 수 있으며, 잘라내기/복사/붙여넣기 기능에는 영향을 주지 않습니다."
,pattern_panel_options_lock_anchors_label,Lock drag anchors in time,锁定拖拽锚点时间,鎖定拖動錨點時間,ドラッグノートアンカー移動範囲固定,드래그 노트 고정점 시점 고정
,pattern_panel_options_lock_anchors_description,Prevent dragging drag anchors to a different time.,确保无法横向移动任何拖拽音符的锚点。,確保無法橫向移動任何拖動音符的錨點。,ドラッグノートのアンカーを移すとき、他の小節に移せなくなります。,드래그 노트의 고정점을 옮길 때 시점을 고정합니다.
,pattern_panel_options_snap_anchors_label,Snap drag note anchors,对齐拖拽锚点,對齊拖動錨點,ドラッグノートアンカースナップ,드래그 노트 고정점 스냅
,pattern_panel_options_snap_anchors_description,Snap anchors the same way as other notes.,按照对齐音符的方式对齐拖拽音符的锚点。,按照對齊音符的方式對齊拖動音符的錨點。,ドラッグノートのアンカーも他のノートのようにスナップされます。,드래그 노트의 고정점도 다른 노트처럼 스냅되도록 설정합니다.
Added in 2.3,pattern_panel_options_auto_save_label,Auto save every 5 minutes,每5分钟自动保存,每 5 分鐘自動儲存,5分毎にオートセーブ,5분마다 자동 저장
,pattern_panel_options_playback_header,Playback,播放,播放,プレイバック,재생
,pattern_panel_options_metronome_label,Metronome,节拍器,節拍器,メトロノーム,메트로놈 기능
,pattern_panel_options_assist_tick_label,Play ticks on silent notes,在无声音符上播放辅助音效,在無聲音符上播放輔助音效。,無音ノートに打撃音適用,연주음이 없는 노트에서 클랩음 재생
,pattern_panel_options_return_scanline_label,Return scanline after playback,播放后归位扫描线,播放後歸位掃描線,プレイバックの停止後スキャンラインを戻させる,타임라인 되돌리기
,pattern_panel_options_return_scanline_description,"When you stop playback, return the scanline to where the playback started.",结束播放时把扫描线复位到开始播放的位置。,結束播放時把掃描線復原到開始播放的位置。,プレイバックを停止すると、スキャンラインが最初にプレイバックした時点へ戻ります。,재생을 중지하면 처음 재생한 시점으로 타임라인이 되돌아갑니다.
,pattern_panel_options_help_header,Help,帮助,幫助,ヘルプ,도움말
,pattern_panel_options_tools_label,Tools,工具,工具,ツール,도구
,pattern_panel_options_tools_pan,"Pan: drag to view different parts of the pattern.
On PC, you can also pan by holding and dragging the middle mouse button, without using this tool.","移动：在工作区中拖拽，从而查看谱面的不同部分。
在PC上，不需选择此工具，按住并拖拽鼠标中键即可滚动工作区。","移動：在工作區中拖曳以查看譜面的不同部分。
PC不須選擇此工具，按住滑鼠中鍵拖曳即可。","パン：ドラッグしてパターンビューを移動します。
PCではこのツールを使わず、マウスのホイールボタンを押したままドラックして移動することができます。","이동: 드래그하여 패턴 뷰 위치를 이동합니다.
PC에서는 이 도구를 사용하지 않고 마우스 휠 버튼을 누른 채 드래그하는 것으로 패턴 뷰를 이동할 수 있습니다."
,pattern_panel_options_tools_note,"Note: place and edit notes. This is the default tool.
On PC, you can use the number keys 1-9 to switch between note types.","音符：添加并编辑音符。这是编辑器默认的工具。
在PC上，可以按数字键1-9来快速选择音符类型。","音符：新增並編輯音符。這是編輯器的預設工具。
PC可以按數字鍵1-9快速選擇音符類型。","ノート：ノートを配置するか編集します。これはデフォルトのツールです。
PCでは、1‐9の数字キーでノートのタイプを変更することができます。","노트: 노트를 추가하거나 편집합니다.
PC에서는 1부터 9까지의 숫자 키를 이용하여 노트의 모양을 바꿀 수 있습니다."
,pattern_panel_options_tools_rectangle,"Rectangle: select notes in a rectangle area.
On PC, you can select this tool by pressing the ` key; you can also move selected notes by holding Ctrl.","选框：绘制矩形从而选中其中的所有音符。
在PC上，可以按`键来选择此工具。使用此工具时，可以按住Ctrl键来移动所有选中的音符。","矩形選取：繪製矩形以選中範圍內的所有音符。
PC可以按`鍵使用此工具。使用時能按住Ctrl鍵移動所有選中的音符。","選択：ドラッグした長方形エリア内のノートを全部選択します。
PCでは、`キーでこのツールを選択することができます。
選択したノートをCtrlキーを押しながら移動することもできます。","선택: 지정한 사각형 영역 안의 노트를 모두 선택합니다.
PC에서는 ` 키를 이용하여 이 도구를 활성화할 수 있으며, Ctrl 키를 누른 채로 선택한 노트를 이동할 수 있습니다."
,pattern_panel_options_tools_rectangle_append,"Rectangle Append: select notes in a rectangle area, in addition to any currently selected notes.
On PC, you can also append by holding Shift when using the Rectangle tool.","追加选框：在已经选中的音符的基础上，额外选中绘制的矩形中的音符。
在PC上，可以在使用选框工具时按住Shift来进行追加选择。","增加選取：增加選取範圍內的音符。
PC可以在使用選取工具時按住Shif新增選取音符。","追加選択：1個以上のノートが選択された場合、ドラッグした長方形エリア内のノートを追加選択します。
PCでは、Shiftキーを押しながら選択ツールを使うことでノートを追加選択することができます。","추가 선택: 하나 이상의 노트가 선택된 상태에서, 지정한 사각형 안의 노트를 추가로 선택합니다.
PC에서는 선택 도구 사용 중 Shift 키를 누른 상태에서 노트를 추가 선택할 수 있습니다."
,pattern_panel_options_tools_rectangle_subtract,"Rectangle Subtract: deselect notes in a rectangle area.
On PC, you can also subtract by holding Alt when using the Rectangle tool.","取消选框：取消选中绘制的矩形中的音符。
在PC上，可以在使用选框工具时按住Alt来取消选择。","取消選取：取消選取範圍內的音符。
PC可以在使用選取工具時按住住Alt取消選取。","選択解除：ドラッグした長方形エリア内のノートを選択解除します。
PCでは、Altキーを押しながら選択ツールを使うことでノートを選択解除することができます。","선택 해제: 지정한 사각형 영역 안의 노트를 선택 해제합니다.
PC에서는 선택 도구 사용 중 Alt 키를 누른 상태에서 노트 선택을 해제할 수 있습니다."
,pattern_panel_options_tools_anchor,"Anchor: enables alternative controls on drag notes' anchors and control points.
With this tool active, click on anchors and control points to delete them; drag from an anchor to reset control points on it.","锚点：修改对拖拽音符的锚点与控制点的操作方式。
使用此工具时，点击锚点与控制点可以将其删除；在锚点上拖拽可以重置其控制点。","錨點：修改對拖拽音符的錨點與控制點的操作方式。
使用此工具時，點擊錨點與控制點可以將其刪除；在錨點上拖拽可以重置其控制點。 ","アンカー：ドラッグノートのアンカーとコントロールポイントの操作を切り替えます。
このツールが有効の場合、アンカーとコントロールポイントをクリックして削除したり、アンカーをドラッグしてコントロールポイントをリセっとすることができます。
","앵커: 드래그 노트의 고정점과 컨트롤 포인트의 조정 방식을 변경합니다.
고정점과 컨트롤 포인트를 클릭하여 삭제하거나, 고정점 위치에서 드래그하여 컨트롤 포인트를 초기화합니다."
,pattern_panel_options_shortcuts_label,Shortcuts,快捷键,快捷鍵,ショートカット,단축키
,pattern_panel_options_shortcuts_help,"Ctrl+S <indent=25%>Save</indent>
Ctrl+Z/Y <indent=25%>Undo / Redo</indent>
` <indent=25%>Rectangle tool</indent>
1-9 <indent=25%>Select note type</indent>
P <indent=25%>Preview keysound of selected note</indent>
Ctrl+A/D <indent=25%>Select / Deselect all notes</indent>
Ctrl+X/C/V <indent=25%>Cut / Copy / Paste</indent>
Ctrl+E <indent=25%>Toggle end-of-scan</indent>
F <indent=25%>Scroll to a selected note</indent>

Space <indent=25%>Start/stop playback</indent>

Scroll wheel <indent=35%>Scroll pattern horizontally</indent>
Shift+Scroll wheel <indent=35%>Scroll pattern vertically</indent>
Ctrl+Scroll wheel <indent=35%>Zoom in/out</indent>
Alt+Scroll wheel <indent=35%>Change beat snap divisor</indent>

Home / End <indent=35%>Move scanline to beginning / end of pattern</indent>
Page Up / Down <indent=35%>Move scanline left / right by one scan</indent>

Hold Ctrl or Shift when selecting notes or keysounds to select multiple.","Ctrl+S <indent=25%>保存</indent>
Ctrl+Z/Y <indent=25%>撤销/重做</indent>
` <indent=25%>选框工具</indent>
1-9 <indent=25%>选择音符类型</indent>
P <indent=25%>预览选中音符的按键音</indent>
Ctrl+A/D <indent=25%>全选/取消全选所有音符</indent>
Ctrl+X/C/V <indent=25%>剪切/复制/粘贴</indent>
Ctrl+E <indent=25%>切换扫描末</indent>
F <indent=25%>滚动至选中的音符</indent>

空格 <indent=25%>开始/结束播放</indent>

滚轮 <indent=25%>横向滚动</indent>
Shift+滚轮 <indent=25%>纵向滚动</indent>
Ctrl+滚轮 <indent=25%>缩放</indent>
Alt+滚轮 <indent=25%>调整节拍划分数</indent>

Home / End <indent=35%>将扫描线移动至谱面头部/尾部</indent>
Page Up / Down <indent=35%>将扫描线向左/右移动一个扫描</indent>

按住Ctrl或Shift可以多选音符与按键音。","Ctrl+S <indent=25%>儲存</indent>
Ctrl+Z/Y <indent=25%>復原/重做</indent>
` <indent=25%>框選工具</indent>
1-9 <indent=25%>選擇音符類型</indent>
P <indent=25%>預覽選中音符的按鍵音</indent>
Ctrl+A/D <indent=25%>全選/取消全選所有音符</indent>
Ctrl+X/C/V <indent=25%>剪下/複製/貼上</indent>
Ctrl+E <indent=25%>切換掃描末</indent>
F <indent=25%>滾動至選中的音符</indent>

空格 <indent=25%>開始/結束播放</indent>

滾輪 <indent=35%>橫向滾動</indent>
Shift+滾輪 <indent=35%>縱向滾動</indent>
Ctrl+滾輪 <indent=35%>縮放</indent>
Alt+滾輪 <indent=35%>調整節拍劃分數</indent>

Home / End <indent=35%>將掃描線移動至譜面開頭/結尾</indent>
Page Up / Down <indent=35%>將掃描線向左/右移動一個掃描</indent>

按住 Ctrl 或 Shift 可以多選音符與按鍵音。","Ctrl+S <indent=25%>保存</indent>
Ctrl+Z/Y <indent=25%>元に戻す/やり直し</indent>
` <indent=25%>選択ツール</indent>
1-9 <indent=25%>ノートタイプ選択</indent>
P <indent=25%>選択したノートのノート音プレビュー</indent>
Ctrl+A/D <indent=25%>全て選択/選択解除</indent>
Ctrl+X/C/V <indent=25%>切り取り/コピー/貼り付け</indent>
Ctrl+E <indent=25%>末尾ノートオン/オフ</indent>
F <indent=25%>選択したノートの位置へ移動</indent>

Space <indent=25%>プレイバック/停止</indent>

マウスホイール <indent=35%>横方向にスクロール</indent>
Shift+マウスホイール <indent=35%>縦方向にスクロール</indent>
Ctrl+マウスホイール <indent=35%>ズームイン/アウト</indent>
Alt+マウスホイール <indent=35%>ノートスナップ値変更</indent>

Home / End <indent=35%>スキャンラインをパターンの最初/最後に移動させる</indent>
Page Up / Down <indent=35%>タイムラインを1スキャン前/後に移動させる</indent>

ノートまたはノート音を複数選択するにはCtrlまたはShiftを長押ししながら選択します。","Ctrl+S <indent=25%>저장</indent>
Ctrl+Z/Y <indent=25%>실행 취소 / 다시 실행</indent>
` <indent=25%>선택 도구</indent>
1-9 <indent=25%>노트 종류 선택</indent>
P <indent=25%>선택한 노트의 사운드 프리뷰</indent>
Ctrl+A/D <indent=25%>모든 노트 선택 / 선택 해제</indent>
Ctrl+X/C/V <indent=25%>잘라내기 / 복사 / 붙여넣기</indent>
Ctrl+E <indent=25%>마디 끝 노트 설정</indent>
F <indent=25%>선택한 노트가 보이도록 이동</indent>

Space <indent=25%>재생 / 정지</indent>

마우스 휠 <indent=35%>가로 방향으로 스크롤</indent>
Shift+마우스 휠 <indent=35%>세로 방향으로 스크롤</indent>
Ctrl+마우스 휠 <indent=35%>확대 / 축소</indent>
Alt+마우스 휠 <indent=35%>박자 스냅 고정값 변경</indent>

Home / End <indent=35%>타임라인을 패턴의 처음/끝으로 이동</indent>
Page Up / Down <indent=35%>타임라인을 한 마디 앞/뒤로 이동</indent>

여러 개의 노트나 키사운드를 선택하려면 Ctrl 또는 Shift키를 누른 채 선택하십시오."
,pattern_panel_options_drag_control_label,Drag note controls,拖拽音符,拖動音符,ドラッグノートの詳細説明,드래그 노트에 대한 상세설명
,pattern_panel_options_drag_control_help,"Drag notes are Bézier curves or B-splines controlled by anchors and control points.
Select a drag note to show its anchors, control points, and anchor receiver (the brown curve in the middle).
Click on the anchor receiver to add an anchor.
Click and drag anchors and control points to move them.
Right click to remove anchors and control points.
Hold Ctrl, click and drag an anchor to reset its control points.
When using B-spline, control points are hidden.","拖拽音符是由锚点和控制点所控制的贝塞尔曲线或者B-样条。
选中一个拖拽音符可以显示其锚点和控制点，以及锚点接收线（音符中心的棕色曲线）。
在锚点接收线上点击以增加锚点。
用鼠标左键拖拽移动锚点和控制点。
用鼠标右键点击可以删除锚点和控制点。
按住Ctrl并用鼠标左键拖拽锚点可以重置其控制点。
使用B-样条时，将不会显示控制点。","拖動音符是由錨點和控制點所控制的貝茲曲線。
選取一個拖動音符可以顯示它的錨點和控制點，以及錨點接收線（音符中心的棕色曲線）。
點擊錨點接收線以增加錨點。
用滑鼠左鍵拖曳移動錨點和控制點。
用滑鼠右鍵點擊可以刪除錨點和控制點。
按住 Ctrl 並用滑鼠左鍵拖曳錨點可以重置其控制點。
使用 B-樣條時，將不會顯示控制點。","ドラッグノートはアンカーとコントロールポイントによって決められるベジェ曲線またはB-スプライン曲線に沿って進行します。
ドラッグノートを選択するとアンカー、コントロールポイント、アンカーレシーバー（ノート中央の茶色の線）が表示されます。
アンカーレシーバーをクリックしてアンカーを追加することができます。
アンカーとコントロールポイントをドラックして移します。
Ctrlを長押ししながらアンカーをクリックし、ドラッグすることでコントロールポイントを配置することができます。","드래그 노트의 진행 경로는 고정점 및 컨트롤 포인트로 정해지는 베지어/B 스플라인 곡선을 따라갑니다.
드래그 노트를 선택하면 고정점, 컨트롤 포인트, 고정선(노트 가운데에 있는 갈색 선)이 표시됩니다.
고정선을 클릭하여 고정점을 추가할 수 있습니다.
고정점과 컨트롤 포인트를 클릭하여 선택하고 드래그하여 위치를 옮길 수 있습니다.
고정점과 컨트롤 포인트를 우클릭하여 삭제할 수 있습니다.
Ctrl를 누른 채로 고정점을 클릭하고 드래그하여 컨트롤 포인트를 배치할 수 있습니다."
"""Snackbar"" is the tiny message box shown at the
bottom of the pattern panel, used to show minor errors.",pattern_panel_snackbar_hold_note_zero_length,Hold notes cannot have zero length.,长按音符的长度不能为0。,長按音符的長度不能為 0。,ホールドノートの長さは0になれません。,홀딩 노트의 길이는 0이 될 수 없습니다.
,pattern_panel_snackbar_hold_note_covers_other_notes,Hold notes cannot cover other notes.,长按音符不能遮盖其他音符。,長按音符不能蓋過其他音符,ホールドノートは他のノートの上に配置できません。,홀딩 노트는 다른 노트를 가릴 수 없습니다.
,pattern_panel_snackbar_drag_flows_left,Drag notes cannot flow to the left at any point.,拖拽音符在任意位置都不能向左行进。,拖動音符無法向左前進,ドラッグノートは左側に向かえません。,드래그 노트는 왼쪽을 향할 수 없습니다.
,pattern_panel_snackbar_anchor_too_close_to_existing,The anchor you are trying to add is too close to an existing anchor.,新添加的锚点过于靠近其他锚点。,新錨點太靠近其他錨點。,アンカーの位置が配置済みのアンカーと近過ぎます。,고정점을 추가하려는 위치가 이미 생성된 고정점과 너무 가깝습니다.
,pattern_panel_snackbar_cannot_delete_first_anchor,Cannot delete the first anchor in each drag note.,不能删除拖拽音符的第一个锚点。,不能刪除拖動音符的第一個錨點。,ドラッグノートの一番目のアンカーは削除できません。,드래그 노트의 첫 고정점은 삭제할 수 없습니다.
,pattern_panel_snackbar_at_least_two_anchors,Drag notes must contain at least 2 anchors.,拖拽音符必须包含至少2个锚点。,拖動音符必須包含至少兩個錨點,ドラッグノートはアンカーを少なくとも二つ以上持たなければなりません。,드래그 노트는 고정점을 최소 2개 이상 가져야 합니다.
,pattern_panel_snackbar_before_scan_0,Cannot place notes before scan 0.,音符不能位于第0扫描之前。,音符不能放置於第 0 掃描之前。,ノートは0番目のスキャンの前に配置できません。,0번 마디 이전에 노트를 배치할 수 없습니다.
,pattern_panel_snackbar_above_topmost_lane,Cannot place notes above the topmost lane.,音符不能位于最上方的轨道之上。,音符不能放置於最上方軌道以上,ノートは0番レーンの上側に配置できません。,0번 트랙 위쪽에 노트를 배치할 수 없습니다.
,pattern_panel_snackbar_below_bottommost_lane,Cannot place notes below the bottommost lane.,音符不能位于最下方的轨道之下。,音符不能放置於最下方軌道以下,ノートは63番レーンの下側に配置できません。,63번 트랙 아래쪽에 노트를 배치할 수 없습니다.
,pattern_panel_snackbar_on_top_of_existing_note,Cannot place notes on top of an existing note.,音符不能和其他音符位于同一位置。,音符不能和其他音符位於同一位置。,ノートは配置済みのノートの上に配置できません。,기존 노트와 겹치도록 노트를 배치할 수 없습니다.
,pattern_panel_snackbar_chain_note_at_same_pulse,No two chain notes may occupy the same timepoint.,锁链音符不能位于同一时间点。,鎖鏈音符不能位於同一個時間點,二つのチェーンノートは同じ縦軸に配置できません。,연결형 노트끼리는 서로 같은 시작점을 공유할 수 없습니다.
,pattern_panel_snackbar_covered_by_hold_note,Notes cannot be covered by hold notes.,音符不能被其他长按音符遮盖。,音符不能被其他長按音符蓋過,ノートはホールドノートの裏側に配置できません。,노트는 홀딩 노트에 가려지도록 배치할 수 없습니다.
,pattern_panel_resource_loading_error_format,"An error occurred when loading resources:

{0}

You can continue to edit this pattern, but playback and preview will be disabled.","读取资源时发生错误：

{0}

你可以继续编辑谱面，但是将无法使用播放功能。","載入資源時發生錯誤：

{0}

您可以繼續編輯譜面，但是無法使用播放功能。","ファイルの読み込み中にエラーが発生しました：

{0}

このパターンの編集は続けられますが、プレイバックとブレビューは無効化されます。","다음 파일을 불러오는 중 오류가 발생했습니다.

{0}

패턴 편집을 계속할 수 있으나, 재생 및 프리뷰 기능은 이용할 수 없습니다."
,,,,,,
,time_event_dialog_header,At the scanline's current position:,在扫描线的当前位置：,在掃描線的目前位置：,現在のスキャンラインの位置の：,현재 타임라인이 위치한 곳의…
,time_event_dialog_change_bpm_button,change BPM to,将BPM改为,將 BPM 改為,BPMを次のように変更,BPM을 다음으로 변경:
,time_event_dialog_dont_change_bpm_button,don't change BPM,不修改BPM,不修改 BPM,BPMを変更しない,BPM을 변경하지 않음
,time_event_dialog_stop_time_button,stop time for,停止时间,停止時間,停止時間,중지 시간
,time_event_dialog_stop_time_button_after_text_field,beats,（拍）,（拍）,拍,박자
,time_event_dialog_dont_stop_time_button,don't stop time,不停止时间,不停止時間,時間を止めない,시간을 멈추지 않습니다.
,time_event_dialog_do_both_help,"If you both change BPM and stop time, BPM change applies first.",如果既修改BPM又停止时间，将以修改BPM为优先。,如果同時修改 BPM 又停止時間，將以修改 BPM 為優先。,両方を適用した場合、BPM変更を優先します。,"BPM과 시간 정지를 동시에 사용하면, BPM 변경이 우선 적용됩니다."
,time_event_dialog_ok_button,OK,确定,確定,OK,확인
,time_event_dialog_cancel_button,Cancel,取消,取消,キャンセル,취소
,,,,,,
,radar_dimension_density,DENSITY,密度,密度,密度,평균 밀도
,radar_dimension_peak,PEAK,峰值,峰值,ピーク値,최고 밀도
,radar_dimension_speed,SPEED,速度,速度,速さ,빠르기
,radar_dimension_chaos,CHAOS,混乱,混亂度,混乱度,복잡도
,radar_dimension_async,ASYNC,异地,異步,非同期,비동기 터치
,pattern_radar_dialog_raw_header,Raw,计算结果,計算結果,計算結果,계산 결과
,pattern_radar_dialog_normalized_header,Normalized,标准化结果,標準化結果,正規化,정규화
,pattern_radar_dialog_suggested_level_label,Suggested level:,建议难度：,建議難度：,おすすめのレベル：,추천 레벨:
,pattern_radar_dialog_disclaimer,"* Refer to the manual for the definition and formula of each item.
* Suggested level is only a suggestion. Use your own judgement when deciding a pattern's level.","* 有关各数值的定义与计算方式请查阅文档。
* 建议难度仅供参考，请以个人判断来确定谱面的最终难度。","* 有關個數值的定義與計算方式請查看說明文件。
* 建議難度僅供參考，請以個人判斷來決定譜面的最終難度。","* それぞれの項目の定義と計算方式は公式マニュアルをご参照ください。
* このレベルはおすすめのレベルです。実際のレベルは自分で判断してください。","* 각 항목의 정의외 계산 방식은 TECHMANIA 공식 문서를 참조하십시오.
* 이 레벨은 프로그램의 추천 값입니다. 실제 레벨을 정할 때 참고용으로만 사용하십시오."
,,,,,,
,edit_setlist_panel_title,Editing Setlist,编辑组曲,編輯組曲,セットリスト編集,디스크셋 편집
,edit_setlist_panel_resources_and_metadata_header,Resources and metadata,资源与元数据,資源與組曲資訊,リソース及びメタデータ,리소스 & 메타데이터
,edit_setlist_panel_import_button,Import,导入,匯入,インポート,가져오기
,edit_setlist_panel_import_button_help,"Import image files so they can be used
as background and eyecatch images.","导入图像文件后，
可以将它们用作背景和封面图片。","匯入圖片檔案後，
可以將它們當作背景和封面圖片使用。",背景及びアイキャッチに使用されるイメージをインポートします。,커버 이미지로 사용할 그림 파일을 등록합니다.
,edit_setlist_panel_title_label,Title,标题,標題,タイトル,제목
,edit_setlist_panel_description_label,Description,描述,說明,詳細,설명
,edit_setlist_panel_control_scheme_label,Control scheme,操作方式,操作方式,プレイタイプ,플레이 방식
,edit_setlist_panel_background_image_label,Background image,背景图片,背景圖片,背景イメージ,배경 이미지
,edit_setlist_panel_eyecatch_image_label,Eyecatch image,封面,封面,アイキャッチイメージ,커버 이미지
,edit_setlist_panel_selectable_patterns_header,Selectable patterns,可选谱面,可選譜面,選択可能なパターン,선택 가능한 패턴
,edit_setlist_panel_selectable_patterns_not_enough_label,At least 3 required,需要至少3个,至少需要 3 個,少なくとも3個を選択してください,최소 3개가 필요합니다
,edit_setlist_panel_add_pattern_button,Add,添加,加入,追加,추가
,edit_setlist_panel_hidden_patterns_header,Hidden patterns,隐藏谱面,隱藏譜面,隠しパターン,히든 패턴
,edit_setlist_panel_hidden_patterns_not_enough_label,At least 1 required,需要至少1个,至少需要 1 個,少なくとも1個を選択してください,최소 1개가 필요합니다
,edit_setlist_panel_hidden_pattern_criteria_label,Criteria,条件,條件,条件,출현 조건
,edit_setlist_panel_hidden_pattern_criteria_none_label,(none),（无）,（無）,(なし),(없음)
,edit_setlist_panel_hidden_pattern_criteria_type_index,Index,序号,序號,番号,곡 번호
,edit_setlist_panel_hidden_pattern_criteria_type_level,Level,难度,難度,レベル,레벨
,edit_setlist_panel_hidden_pattern_criteria_type_hp,HP%,HP%,HP%,HP%,게이지
,edit_setlist_panel_hidden_pattern_criteria_type_score,Score,分数,分數,スコア,스코어
,edit_setlist_panel_hidden_pattern_criteria_type_combo,Combo,当前连击,COMBO,コンボ,콤보
,edit_setlist_panel_hidden_pattern_criteria_type_max_combo,Max combo,最大连击,MAX COMBO,最大コンボ,최대 콤보
,edit_setlist_panel_hidden_pattern_criteria_type_d100,D100,D100,D100,D100,무작위 정수
,edit_setlist_panel_help_header,Help,帮助,幫助,ヘルプ,도움말
